Date,home,away,Home Score,Away Score,result,Tries scored H,Tries scored A,Neutral venue,Crowds
01/01/1999,Perpignan,Neath,60,24,Home,,,0,1
01/01/1999,Petrarca,Munster,21,35,Away,,,0,1
01/01/1999,Ulster,Edinburgh,38,38,Draw,,,0,1
01/01/1999,Toulouse,Ebbw Vale,108,16,Home,,,0,1
01/01/1999,Edinburgh,Ebbw Vale,41,17,Home,,,0,1
01/01/1999,Toulouse,Ulster,39,3,Home,,,0,1
01/01/1999,Ebbw Vale,Ulster,28,61,Away,,,0,1
01/01/1999,Edinburgh,Toulouse,25,29,Away,,,0,1
01/01/1999,Ulster,Toulouse,29,24,Home,,,0,1
01/01/1999,Ebbw Vale,Edinburgh,16,43,Away,,,0,1
01/01/1999,Ulster,Ebbw Vale,43,18,Home,,,0,1
01/01/1999,Toulouse,Edinburgh,23,11,Home,,,0,1
01/01/1999,Ebbw Vale,Toulouse,19,11,Home,,,0,1
01/01/1999,Edinburgh,Ulster,21,23,Away,,,0,1
01/01/1999,Treviso,Colomiers,19,22,Away,,,0,1
01/01/1999,Glasgow,Pontypridd,21,43,Away,,,0,1
01/01/1999,Pontypridd,Colomiers,32,27,Home,,,0,1
01/01/1999,Treviso,Glasgow,34,15,Home,,,0,1
01/01/1999,Pontypridd,Treviso,13,22,Away,,,0,1
01/01/1999,Colomiers,Glasgow,34,16,Home,,,0,1
01/01/1999,Colomiers,Pontypridd,35,21,Home,,,0,1
01/01/1999,Glasgow,Treviso,40,27,Home,,,0,1
01/01/1999,Treviso,Pontypridd,33,19,Home,,,0,1
01/01/1999,Glasgow,Colomiers,26,17,Home,,,0,1
01/01/1999,Colomiers,Treviso,41,7,Home,,,0,1
01/01/1999,Pontypridd,Glasgow,32,3,Home,,,0,1
01/01/1999,Ulster,Toulouse,15,13,Home,,,0,1
01/01/1999,Perpignan,Scarlets,34,17,Home,,,0,1
01/01/1999,Stade Francais,Pontypridd,71,14,Home,,,0,1
01/01/1999,Colomiers,Munster,23,9,Home,,,0,1
01/01/1999,Ulster,Stade Francais,33,27,Home,,,0,1
01/01/1999,Colomiers,Perpignan,10,6,Home,,,0,1
01/01/1999,Ulster,Colomiers,21,6,Home,,,1,1
01/01/2000,Leinster,Leicester,27,20,Home,,,0,1
