"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
1999-01-01,"Ulster","Stade Francais",33,27,"Home",NA,NA,0,1
1999-01-01,"Colomiers","Perpignan",10,6,"Home",NA,NA,0,1
1999-01-01,"Ulster","Colomiers",21,6,"Home",NA,NA,1,1
2000-01-01,"Leinster","Leicester",27,20,"Home",NA,NA,0,1
2000-01-01,"Stade Francais","Glasgow",37,18,"Home",NA,NA,0,1
2000-01-01,"Glasgow","Leinster",29,17,"Home",NA,NA,0,1
2000-01-01,"Leicester","Stade Francais",30,25,"Home",NA,NA,0,1
2000-01-01,"Stade Francais","Leinster",39,6,"Home",NA,NA,0,1
2000-01-01,"Glasgow","Leicester",30,17,"Home",NA,NA,0,1
2000-01-01,"Leinster","Stade Francais",24,23,"Home",NA,NA,0,1
2000-01-01,"Leicester","Glasgow",34,21,"Home",NA,NA,0,1
2000-01-01,"Leinster","Glasgow",44,17,"Home",NA,NA,0,1
2000-01-01,"Stade Francais","Leicester",38,16,"Home",NA,NA,0,1
2000-01-01,"Glasgow","Stade Francais",15,30,"Away",NA,NA,0,1
2000-01-01,"Leicester","Leinster",10,32,"Away",NA,NA,0,1
2000-01-01,"Swansea","Petrarca",66,19,"Home",NA,NA,0,1
2000-01-01,"Bath","Toulouse",25,32,"Away",NA,NA,0,1
2000-01-01,"Petrarca","Bath",15,56,"Away",NA,NA,0,1
2000-01-01,"Toulouse","Swansea",46,3,"Home",NA,NA,0,1
2000-01-01,"Swansea","Bath",10,9,"Home",NA,NA,0,1
2000-01-01,"Petrarca","Toulouse",17,39,"Away",NA,NA,0,1
2000-01-01,"Toulouse","Petrarca",51,0,"Home",NA,NA,0,1
2000-01-01,"Bath","Swansea",20,9,"Home",NA,NA,0,1
2000-01-01,"Swansea","Toulouse",9,18,"Away",NA,NA,0,1
2000-01-01,"Bath","Petrarca",41,0,"Home",NA,NA,0,1
2000-01-01,"Petrarca","Swansea",25,29,"Away",NA,NA,0,1
2000-01-01,"Toulouse","Bath",14,19,"Away",NA,NA,0,1
2000-01-01,"Bourgoin","Ulster",26,12,"Home",NA,NA,0,1
2000-01-01,"Wasps","Scarlets",22,13,"Home",NA,NA,0,1
2000-01-01,"Ulster","Wasps",6,19,"Away",NA,NA,0,1
2000-01-01,"Scarlets","Bourgoin",29,10,"Home",NA,NA,0,1
2000-01-01,"Ulster","Scarlets",6,29,"Away",NA,NA,0,1
2000-01-01,"Bourgoin","Wasps",15,21,"Away",NA,NA,0,1
2000-01-01,"Scarlets","Ulster",20,3,"Home",NA,NA,0,1
2000-01-01,"Wasps","Bourgoin",37,23,"Home",NA,NA,0,1
2000-01-01,"Bourgoin","Scarlets",30,36,"Away",NA,NA,0,1
2000-01-01,"Wasps","Ulster",49,17,"Home",NA,NA,0,1
2000-01-01,"Ulster","Bourgoin",27,36,"Away",NA,NA,0,1
2000-01-01,"Scarlets","Wasps",25,15,"Home",NA,NA,0,1
2000-01-01,"Munster","Pontypridd",32,10,"Home",NA,NA,0,1
2000-01-01,"Colomiers","Saracens",19,16,"Home",NA,NA,0,1
2000-01-01,"Pontypridd","Colomiers",22,14,"Home",NA,NA,0,1
2000-01-01,"Saracens","Munster",34,35,"Away",NA,NA,0,1
2000-01-01,"Colomiers","Munster",15,31,"Away",NA,NA,0,1
2000-01-01,"Saracens","Pontypridd",52,35,"Home",NA,NA,0,1
2000-01-01,"Pontypridd","Saracens",18,22,"Away",NA,NA,0,1
2000-01-01,"Munster","Colomiers",23,5,"Home",NA,NA,0,1
2000-01-01,"Munster","Saracens",31,30,"Home",NA,NA,0,1
2000-01-01,"Colomiers","Pontypridd",38,21,"Home",NA,NA,0,1
2000-01-01,"Pontypridd","Munster",38,36,"Home",NA,NA,0,1
2000-01-01,"Saracens","Colomiers",52,15,"Home",NA,NA,0,1
2000-01-01,"Cardiff Blues","Harlequins",32,32,"Draw",NA,NA,0,1
2000-01-01,"Treviso","Montferrand",15,21,"Away",NA,NA,0,1
2000-01-01,"Harlequins","Treviso",19,22,"Away",NA,NA,0,1
2000-01-01,"Montferrand","Cardiff Blues",46,13,"Home",NA,NA,0,1
2000-01-01,"Cardiff Blues","Treviso",23,16,"Home",NA,NA,0,1
2000-01-01,"Harlequins","Montferrand",11,9,"Home",NA,NA,0,1
2000-01-01,"Treviso","Cardiff Blues",16,40,"Away",NA,NA,0,1
2000-01-01,"Montferrand","Harlequins",32,9,"Home",NA,NA,0,1
2000-01-01,"Treviso","Harlequins",24,23,"Home",NA,NA,0,1
2000-01-01,"Cardiff Blues","Montferrand",30,5,"Home",NA,NA,0,1
2000-01-01,"Harlequins","Cardiff Blues",26,30,"Away",NA,NA,0,1
2000-01-01,"Montferrand","Treviso",41,7,"Home",NA,NA,0,1
2000-01-01,"Northampton","Neath",21,12,"Home",NA,NA,0,1
2000-01-01,"Edinburgh","Grenoble",23,18,"Home",NA,NA,0,1
2000-01-01,"Neath","Edinburgh",20,31,"Away",NA,NA,0,1
2000-01-01,"Grenoble","Northampton",20,18,"Home",NA,NA,0,1
